TestCase1,TestCase2,Inter/Union
bw/st/no/no/d/492/nc/U,bo/so/yes/yes/m/270/nc/U,0.42
bw/st/no/no/d/492/nc/U,bo/mu/no/yes/d/480/nc/U,0.49
bw/st/no/no/d/492/nc/U,bo/mu/yes/no/d/474/nc/U,0.51
bw/st/no/no/d/492/nc/U,bo/st/yes/yes/m/222/nc/U,0.51
bw/st/no/no/d/492/nc/U,bo/so/yes/no/m/282/nc/U,0.41
bw/st/no/no/d/492/nc/U,bo/so/no/no/m/276/nc/U,0.26
bw/st/no/no/d/492/nc/U,bo/st/no/yes/m/240/nc/U,0.49
bw/st/no/no/d/492/nc/U,bw/st/no/no/m/204/nc/U,1.0
bw/st/no/no/d/492/nc/U,bo/mu/yes/yes/d/462/nc/U,0.51
bw/st/no/no/d/492/nc/U,bo/st/yes/no/m/234/nc/U,0.52
bw/st/no/no/d/492/nc/U,bw/st/yes/no/d/498/nc/U,0.9
bw/st/no/no/d/492/nc/U,bw/mu/yes/yes/d/438/nc/U,0.53
bw/st/no/no/d/492/nc/U,bw/so/yes/no/m/258/nc/U,0.42
bw/st/no/no/d/492/nc/U,bw/so/no/yes/d/749/nc/A,0.43
bw/st/no/no/d/492/nc/U,bo/mu/yes/no/m/740/nc/A,0.51
bw/st/no/no/d/492/nc/U,bw/st/no/yes/d/747/nc/A,0.87
bw/st/no/no/d/492/nc/U,bo/mu/no/no/m/180/nc/U,0.5
bw/st/no/no/d/492/nc/U,bo/mu/yes/yes/m/174/nc/U,0.51
bw/st/no/no/d/492/nc/U,bo/st/yes/yes/d/510/nc/U,0.51
bw/st/no/no/d/492/nc/U,bo/mu/yes/yes/d/722/nc/A,0.51
bw/st/no/no/d/492/nc/U,bw/so/yes/yes/d/725/nc/A,0.43
bw/st/no/no/d/492/nc/U,bo/st/no/yes/d/528/nc/U,0.49
bw/st/no/no/d/492/nc/U,bo/mu/no/yes/d/746/nc/A,0.49
bw/st/no/no/d/492/nc/U,bw/st/yes/no/m/741/nc/A,0.9
bw/st/no/no/d/492/nc/U,bo/st/no/yes/d/748/nc/A,0.49
bw/st/no/no/d/492/nc/U,bo/mu/yes/no/m/186/nc/U,0.51
bw/st/no/no/d/492/nc/U,bo/st/no/no/d/516/nc/U,0.49
bw/st/no/no/d/492/nc/U,bo/st/yes/yes/d/724/nc/A,0.51
bw/st/no/no/d/492/nc/U,bw/st/yes/yes/d/723/nc/A,0.81
bw/st/no/no/d/492/nc/U,bo/mu/no/yes/m/192/nc/U,0.49
bw/st/no/no/d/492/nc/U,bo/st/yes/yes/m/730/nc/A,0.51
bw/st/no/no/d/492/nc/U,bw/so/yes/no/d/737/nc/A,0.42
bw/st/no/no/d/492/nc/U,bw/mu/no/yes/m/168/nc/U,0.53
bw/st/no/no/d/492/nc/U,bw/mu/yes/no/m/739/nc/A,0.54
bw/st/no/no/d/492/nc/U,bw/mu/yes/yes/m/150/nc/U,0.53
bw/st/no/no/d/492/nc/U,bw/so/yes/yes/d/534/nc/U,0.43
bw/st/no/no/d/492/nc/U,bo/mu/no/yes/m/752/nc/A,0.49
bw/st/no/no/d/492/nc/U,bw/so/no/yes/m/755/nc/A,0.43
bw/st/no/no/d/492/nc/U,bo/so/yes/yes/d/558/nc/U,0.42
bw/st/no/no/d/492/nc/U,bw/mu/no/no/m/763/nc/A,0.53
bw/st/no/no/d/492/nc/U,bo/mu/no/no/m/764/nc/A,0.5
bw/st/no/no/d/492/nc/U,bo/so/yes/no/d/738/nc/A,0.41
bw/st/no/no/d/492/nc/U,bw/mu/no/no/m/156/nc/U,0.53
bw/st/no/no/d/492/nc/U,bo/st/yes/no/d/736/nc/A,0.52
bw/st/no/no/d/492/nc/U,bw/st/no/yes/d/504/nc/U,0.87
bw/st/no/no/d/492/nc/U,bw/so/yes/yes/m/731/nc/A,0.43
bw/st/no/no/d/492/nc/U,bw/st/no/no/m/765/nc/A,1.0
bw/st/no/no/d/492/nc/U,bo/so/no/no/d/762/nc/A,0.26
bw/st/no/no/d/492/nc/U,bo/st/no/yes/m/754/nc/A,0.49
bw/st/no/no/d/492/nc/U,bw/st/no/yes/m/753/nc/A,0.87
bw/st/no/no/d/492/nc/U,bw/st/no/yes/m/216/nc/U,0.87
bw/st/no/no/d/492/nc/U,bo/so/no/yes/m/288/nc/U,0.25
bw/st/no/no/d/492/nc/U,bw/st/yes/no/m/210/nc/U,0.9
bw/st/no/no/d/492/nc/U,bo/st/no/no/m/228/nc/U,0.49
bw/mu/yes/no/d/450/nc/U,bw/mu/no/yes/d/456/nc/U,0.95
bw/mu/yes/no/d/450/nc/U,bw/so/no/no/m/252/nc/U,0.49
bw/mu/yes/no/d/450/nc/U,bw/so/no/yes/m/264/nc/U,0.5
bw/mu/yes/no/d/450/nc/U,bw/st/no/no/d/492/nc/U,0.54
bw/mu/yes/no/d/450/nc/U,bw/mu/yes/no/d/450/nc/U,1.0
bw/mu/yes/no/d/450/nc/U,bo/mu/no/no/d/468/nc/U,0.88
bw/mu/yes/no/d/450/nc/U,bo/mu/yes/yes/m/728/nc/A,0.9
bw/mu/yes/no/d/450/nc/U,bo/st/yes/no/d/522/nc/U,0.65
bw/mu/yes/no/d/450/nc/U,bo/so/yes/yes/d/726/nc/A,0.52
bw/mu/yes/no/d/450/nc/U,bw/mu/yes/yes/d/721/nc/A,0.96
bw/mu/yes/no/d/450/nc/U,bw/so/no/no/d/540/nc/U,0.49
bw/mu/yes/no/d/450/nc/U,bo/so/yes/no/m/744/nc/A,0.49
bw/mu/yes/no/d/450/nc/U,bo/so/no/yes/d/576/nc/U,0.34
bw/mu/yes/no/d/450/nc/U,bw/so/yes/no/m/743/nc/A,0.48
bw/mu/yes/no/d/450/nc/U,bw/mu/yes/yes/m/727/nc/A,0.96
bw/mu/yes/no/d/450/nc/U,bw/st/yes/yes/m/729/nc/A,0.57
bw/mu/yes/no/d/450/nc/U,bo/st/yes/no/m/742/nc/A,0.65
bw/mu/yes/no/d/450/nc/U,bo/so/yes/no/d/570/nc/U,0.49
bw/mu/yes/no/d/450/nc/U,bw/mu/no/yes/d/745/nc/A,0.95
bw/mu/yes/no/d/450/nc/U,bw/so/yes/no/d/546/nc/U,0.48
bw/mu/yes/no/d/450/nc/U,bo/so/no/no/d/564/nc/U,0.33
bw/mu/yes/no/d/450/nc/U,bo/so/no/yes/m/756/nc/A,0.34
bw/mu/yes/no/d/450/nc/U,bw/mu/no/yes/m/751/nc/A,0.95
bw/mu/yes/no/d/450/nc/U,bw/so/no/no/m/767/nc/A,0.49
bw/mu/yes/no/d/450/nc/U,bo/mu/no/no/d/758/nc/A,0.88
bw/mu/yes/no/d/450/nc/U,bw/so/no/yes/d/552/nc/U,0.5
bw/mu/yes/no/d/450/nc/U,bo/st/no/no/d/760/nc/A,0.66
bw/mu/yes/no/d/450/nc/U,bw/mu/yes/no/m/162/nc/U,1.0
bw/mu/yes/no/d/450/nc/U,bo/mu/yes/no/d/734/nc/A,0.93
bw/mu/yes/no/d/450/nc/U,bw/mu/yes/no/d/733/nc/A,1.0
bw/mu/yes/no/d/450/nc/U,bw/st/yes/yes/m/198/nc/U,0.57
bw/mu/yes/no/d/450/nc/U,bw/so/no/no/d/761/nc/A,0.49
bw/mu/yes/no/d/450/nc/U,bo/st/no/no/m/766/nc/A,0.66
bw/mu/yes/no/d/450/nc/U,bw/st/no/no/d/759/nc/A,0.54
bw/mu/yes/no/d/450/nc/U,bo/so/no/yes/d/750/nc/A,0.34
bw/mu/yes/no/d/450/nc/U,bw/mu/no/no/d/757/nc/A,0.98
bw/mu/yes/no/d/450/nc/U,bo/so/no/no/m/768/nc/A,0.33
bw/mu/yes/no/d/450/nc/U,bo/so/yes/yes/m/732/nc/A,0.52
bw/mu/yes/no/d/450/nc/U,bw/st/yes/no/d/735/nc/A,0.52
bw/mu/yes/no/d/450/nc/U,bw/st/yes/yes/d/486/nc/U,0.57
bw/mu/yes/no/d/450/nc/U,bw/mu/no/no/d/444/nc/U,0.98
bw/mu/yes/no/d/450/nc/U,bw/so/yes/yes/m/246/nc/U,0.48
bw/mu/yes/no/d/450/nc/U,bo/so/yes/yes/m/270/nc/U,0.52
bw/mu/yes/no/d/450/nc/U,bo/mu/no/yes/d/480/nc/U,0.87
bw/mu/yes/no/d/450/nc/U,bo/mu/yes/no/d/474/nc/U,0.93
bw/mu/yes/no/d/450/nc/U,bo/st/yes/yes/m/222/nc/U,0.66
bw/mu/yes/no/d/450/nc/U,bo/so/yes/no/m/282/nc/U,0.49
bw/mu/yes/no/d/450/nc/U,bo/so/no/no/m/276/nc/U,0.33
bw/mu/yes/no/d/450/nc/U,bo/st/no/yes/m/240/nc/U,0.69
bw/mu/yes/no/d/450/nc/U,bw/st/no/no/m/204/nc/U,0.54
bw/mu/yes/no/d/450/nc/U,bo/mu/yes/yes/d/462/nc/U,0.9
bw/mu/yes/no/d/450/nc/U,bo/st/yes/no/m/234/nc/U,0.65
bw/mu/yes/no/d/450/nc/U,bw/st/yes/no/d/498/nc/U,0.52
bw/mu/yes/no/d/450/nc/U,bw/mu/yes/yes/d/438/nc/U,0.96
bw/mu/yes/no/d/450/nc/U,bw/so/yes/no/m/258/nc/U,0.48
bw/mu/yes/no/d/450/nc/U,bw/so/no/yes/d/749/nc/A,0.5
bw/mu/yes/no/d/450/nc/U,bo/mu/yes/no/m/740/nc/A,0.93
bw/mu/yes/no/d/450/nc/U,bw/st/no/yes/d/747/nc/A,0.59
bw/mu/yes/no/d/450/nc/U,bo/mu/no/no/m/180/nc/U,0.88
bw/mu/yes/no/d/450/nc/U,bo/mu/yes/yes/m/174/nc/U,0.9
bw/mu/yes/no/d/450/nc/U,bo/st/yes/yes/d/510/nc/U,0.66
bw/mu/yes/no/d/450/nc/U,bo/mu/yes/yes/d/722/nc/A,0.9
bw/mu/yes/no/d/450/nc/U,bw/so/yes/yes/d/725/nc/A,0.48
bw/mu/yes/no/d/450/nc/U,bo/st/no/yes/d/528/nc/U,0.69
bw/mu/yes/no/d/450/nc/U,bo/mu/no/yes/d/746/nc/A,0.87
bw/mu/yes/no/d/450/nc/U,bw/st/yes/no/m/741/nc/A,0.52
bw/mu/yes/no/d/450/nc/U,bo/st/no/yes/d/748/nc/A,0.69
bw/mu/yes/no/d/450/nc/U,bo/mu/yes/no/m/186/nc/U,0.93
bw/mu/yes/no/d/450/nc/U,bo/st/no/no/d/516/nc/U,0.66
bw/mu/yes/no/d/450/nc/U,bo/st/yes/yes/d/724/nc/A,0.66
bw/mu/yes/no/d/450/nc/U,bw/st/yes/yes/d/723/nc/A,0.57
bw/mu/yes/no/d/450/nc/U,bo/mu/no/yes/m/192/nc/U,0.87
bw/mu/yes/no/d/450/nc/U,bo/st/yes/yes/m/730/nc/A,0.66
bw/mu/yes/no/d/450/nc/U,bw/so/yes/no/d/737/nc/A,0.48
bw/mu/yes/no/d/450/nc/U,bw/mu/no/yes/m/168/nc/U,0.95
bw/mu/yes/no/d/450/nc/U,bw/mu/yes/no/m/739/nc/A,1.0
bw/mu/yes/no/d/450/nc/U,bw/mu/yes/yes/m/150/nc/U,0.96
bw/mu/yes/no/d/450/nc/U,bw/so/yes/yes/d/534/nc/U,0.48
bw/mu/yes/no/d/450/nc/U,bo/mu/no/yes/m/752/nc/A,0.87
bw/mu/yes/no/d/450/nc/U,bw/so/no/yes/m/755/nc/A,0.5
bw/mu/yes/no/d/450/nc/U,bo/so/yes/yes/d/558/nc/U,0.52
bw/mu/yes/no/d/450/nc/U,bw/mu/no/no/m/763/nc/A,0.98
bw/mu/yes/no/d/450/nc/U,bo/mu/no/no/m/764/nc/A,0.88
bw/mu/yes/no/d/450/nc/U,bo/so/yes/no/d/738/nc/A,0.49
bw/mu/yes/no/d/450/nc/U,bw/mu/no/no/m/156/nc/U,0.98
bw/mu/yes/no/d/450/nc/U,bo/st/yes/no/d/736/nc/A,0.65
bw/mu/yes/no/d/450/nc/U,bw/st/no/yes/d/504/nc/U,0.59
bw/mu/yes/no/d/450/nc/U,bw/so/yes/yes/m/731/nc/A,0.48
bw/mu/yes/no/d/450/nc/U,bw/st/no/no/m/765/nc/A,0.54
bw/mu/yes/no/d/450/nc/U,bo/so/no/no/d/762/nc/A,0.33
bw/mu/yes/no/d/450/nc/U,bo/st/no/yes/m/754/nc/A,0.69
bw/mu/yes/no/d/450/nc/U,bw/st/no/yes/m/753/nc/A,0.59
bw/mu/yes/no/d/450/nc/U,bw/st/no/yes/m/216/nc/U,0.59
bw/mu/yes/no/d/450/nc/U,bo/so/no/yes/m/288/nc/U,0.34
bw/mu/yes/no/d/450/nc/U,bw/st/yes/no/m/210/nc/U,0.52
bw/mu/yes/no/d/450/nc/U,bo/st/no/no/m/228/nc/U,0.66
bo/mu/no/no/d/468/nc/U,bw/mu/no/yes/d/456/nc/U,0.87
bo/mu/no/no/d/468/nc/U,bw/so/no/no/m/252/nc/U,0.49
bo/mu/no/no/d/468/nc/U,bw/so/no/yes/m/264/nc/U,0.5
bo/mu/no/no/d/468/nc/U,bw/st/no/no/d/492/nc/U,0.5
bo/mu/no/no/d/468/nc/U,bw/mu/yes/no/d/450/nc/U,0.88
bo/mu/no/no/d/468/nc/U,bo/mu/no/no/d/468/nc/U,1.0
bo/mu/no/no/d/468/nc/U,bo/mu/yes/yes/m/728/nc/A,0.9
bo/mu/no/no/d/468/nc/U,bo/st/yes/no/d/522/nc/U,0.65
bo/mu/no/no/d/468/nc/U,bo/so/yes/yes/d/726/nc/A,0.53
bo/mu/no/no/d/468/nc/U,bw/mu/yes/yes/d/721/nc/A,0.87
bo/mu/no/no/d/468/nc/U,bw/so/no/no/d/540/nc/U,0.49
bo/mu/no/no/d/468/nc/U,bo/so/yes/no/m/744/nc/A,0.51
bo/mu/no/no/d/468/nc/U,bo/so/no/yes/d/576/nc/U,0.36
bo/mu/no/no/d/468/nc/U,bw/so/yes/no/m/743/nc/A,0.48
bo/mu/no/no/d/468/nc/U,bw/mu/yes/yes/m/727/nc/A,0.87
bo/mu/no/no/d/468/nc/U,bw/st/yes/yes/m/729/nc/A,0.53
bo/mu/no/no/d/468/nc/U,bo/st/yes/no/m/742/nc/A,0.65
bo/mu/no/no/d/468/nc/U,bo/so/yes/no/d/570/nc/U,0.51
bo/mu/no/no/d/468/nc/U,bw/mu/no/yes/d/745/nc/A,0.87
bo/mu/no/no/d/468/nc/U,bw/so/yes/no/d/546/nc/U,0.48
bo/mu/no/no/d/468/nc/U,bo/so/no/no/d/564/nc/U,0.35
bo/mu/no/no/d/468/nc/U,bo/so/no/yes/m/756/nc/A,0.36
bo/mu/no/no/d/468/nc/U,bw/mu/no/yes/m/751/nc/A,0.87
bo/mu/no/no/d/468/nc/U,bw/so/no/no/m/767/nc/A,0.49
bo/mu/no/no/d/468/nc/U,bo/mu/no/no/d/758/nc/A,1.0
bo/mu/no/no/d/468/nc/U,bw/so/no/yes/d/552/nc/U,0.5
bo/mu/no/no/d/468/nc/U,bo/st/no/no/d/760/nc/A,0.67
bo/mu/no/no/d/468/nc/U,bw/mu/yes/no/m/162/nc/U,0.88
bo/mu/no/no/d/468/nc/U,bo/mu/yes/no/d/734/nc/A,0.92
bo/mu/no/no/d/468/nc/U,bw/mu/yes/no/d/733/nc/A,0.88
bo/mu/no/no/d/468/nc/U,bw/st/yes/yes/m/198/nc/U,0.53
bo/mu/no/no/d/468/nc/U,bw/so/no/no/d/761/nc/A,0.49
bo/mu/no/no/d/468/nc/U,bo/st/no/no/m/766/nc/A,0.67
bo/mu/no/no/d/468/nc/U,bw/st/no/no/d/759/nc/A,0.5
bo/mu/no/no/d/468/nc/U,bo/so/no/yes/d/750/nc/A,0.36
bo/mu/no/no/d/468/nc/U,bw/mu/no/no/d/757/nc/A,0.88
bo/mu/no/no/d/468/nc/U,bo/so/no/no/m/768/nc/A,0.35
bo/mu/no/no/d/468/nc/U,bo/so/yes/yes/m/732/nc/A,0.53
bo/mu/no/no/d/468/nc/U,bw/st/yes/no/d/735/nc/A,0.49
bo/mu/no/no/d/468/nc/U,bw/st/yes/yes/d/486/nc/U,0.53
bo/mu/no/no/d/468/nc/U,bw/mu/no/no/d/444/nc/U,0.88
bo/mu/no/no/d/468/nc/U,bw/so/yes/yes/m/246/nc/U,0.48
bo/mu/no/no/d/468/nc/U,bo/so/yes/yes/m/270/nc/U,0.53
bo/mu/no/no/d/468/nc/U,bo/mu/no/yes/d/480/nc/U,0.94
bo/mu/no/no/d/468/nc/U,bo/mu/yes/no/d/474/nc/U,0.92
bo/mu/no/no/d/468/nc/U,bo/st/yes/yes/m/222/nc/U,0.66
bo/mu/no/no/d/468/nc/U,bo/so/yes/no/m/282/nc/U,0.51
bo/mu/no/no/d/468/nc/U,bo/so/no/no/m/276/nc/U,0.35
bo/mu/no/no/d/468/nc/U,bo/st/no/yes/m/240/nc/U,0.69
bo/mu/no/no/d/468/nc/U,bw/st/no/no/m/204/nc/U,0.5
bo/mu/no/no/d/468/nc/U,bo/mu/yes/yes/d/462/nc/U,0.9
bo/mu/no/no/d/468/nc/U,bo/st/yes/no/m/234/nc/U,0.65
bo/mu/no/no/d/468/nc/U,bw/st/yes/no/d/498/nc/U,0.49
bo/mu/no/no/d/468/nc/U,bw/mu/yes/yes/d/438/nc/U,0.87
bo/mu/no/no/d/468/nc/U,bw/so/yes/no/m/258/nc/U,0.48
bo/mu/no/no/d/468/nc/U,bw/so/no/yes/d/749/nc/A,0.5
bo/mu/no/no/d/468/nc/U,bo/mu/yes/no/m/740/nc/A,0.92
bo/mu/no/no/d/468/nc/U,bw/st/no/yes/d/747/nc/A,0.56
bo/mu/no/no/d/468/nc/U,bo/mu/no/no/m/180/nc/U,1.0
bo/mu/no/no/d/468/nc/U,bo/mu/yes/yes/m/174/nc/U,0.9
bo/mu/no/no/d/468/nc/U,bo/st/yes/yes/d/510/nc/U,0.66
bo/mu/no/no/d/468/nc/U,bo/mu/yes/yes/d/722/nc/A,0.9
bo/mu/no/no/d/468/nc/U,bw/so/yes/yes/d/725/nc/A,0.48
bo/mu/no/no/d/468/nc/U,bo/st/no/yes/d/528/nc/U,0.69
bo/mu/no/no/d/468/nc/U,bo/mu/no/yes/d/746/nc/A,0.94
bo/mu/no/no/d/468/nc/U,bw/st/yes/no/m/741/nc/A,0.49
bo/mu/no/no/d/468/nc/U,bo/st/no/yes/d/748/nc/A,0.69
bo/mu/no/no/d/468/nc/U,bo/mu/yes/no/m/186/nc/U,0.92
bo/mu/no/no/d/468/nc/U,bo/st/no/no/d/516/nc/U,0.67
bo/mu/no/no/d/468/nc/U,bo/st/yes/yes/d/724/nc/A,0.66
bo/mu/no/no/d/468/nc/U,bw/st/yes/yes/d/723/nc/A,0.53
bo/mu/no/no/d/468/nc/U,bo/mu/no/yes/m/192/nc/U,0.94
bo/mu/no/no/d/468/nc/U,bo/st/yes/yes/m/730/nc/A,0.66
bo/mu/no/no/d/468/nc/U,bw/so/yes/no/d/737/nc/A,0.48
bo/mu/no/no/d/468/nc/U,bw/mu/no/yes/m/168/nc/U,0.87
bo/mu/no/no/d/468/nc/U,bw/mu/yes/no/m/739/nc/A,0.88
bo/mu/no/no/d/468/nc/U,bw/mu/yes/yes/m/150/nc/U,0.87
bo/mu/no/no/d/468/nc/U,bw/so/yes/yes/d/534/nc/U,0.48
bo/mu/no/no/d/468/nc/U,bo/mu/no/yes/m/752/nc/A,0.94
bo/mu/no/no/d/468/nc/U,bw/so/no/yes/m/755/nc/A,0.5
bo/mu/no/no/d/468/nc/U,bo/so/yes/yes/d/558/nc/U,0.53
bo/mu/no/no/d/468/nc/U,bw/mu/no/no/m/763/nc/A,0.88
bo/mu/no/no/d/468/nc/U,bo/mu/no/no/m/764/nc/A,1.0
bo/mu/no/no/d/468/nc/U,bo/so/yes/no/d/738/nc/A,0.51
bo/mu/no/no/d/468/nc/U,bw/mu/no/no/m/156/nc/U,0.88
bo/mu/no/no/d/468/nc/U,bo/st/yes/no/d/736/nc/A,0.65
bo/mu/no/no/d/468/nc/U,bw/st/no/yes/d/504/nc/U,0.56
bo/mu/no/no/d/468/nc/U,bw/so/yes/yes/m/731/nc/A,0.48
bo/mu/no/no/d/468/nc/U,bw/st/no/no/m/765/nc/A,0.5
bo/mu/no/no/d/468/nc/U,bo/so/no/no/d/762/nc/A,0.35
bo/mu/no/no/d/468/nc/U,bo/st/no/yes/m/754/nc/A,0.69
bo/mu/no/no/d/468/nc/U,bw/st/no/yes/m/753/nc/A,0.56
bo/mu/no/no/d/468/nc/U,bw/st/no/yes/m/216/nc/U,0.56
bo/mu/no/no/d/468/nc/U,bo/so/no/yes/m/288/nc/U,0.36
bo/mu/no/no/d/468/nc/U,bw/st/yes/no/m/210/nc/U,0.49
bo/mu/no/no/d/468/nc/U,bo/st/no/no/m/228/nc/U,0.67
bo/mu/yes/yes/m/728/nc/A,bw/mu/no/yes/d/456/nc/U,0.91
bo/mu/yes/yes/m/728/nc/A,bw/so/no/no/m/252/nc/U,0.49
bo/mu/yes/yes/m/728/nc/A,bw/so/no/yes/m/264/nc/U,0.5
bo/mu/yes/yes/m/728/nc/A,bw/st/no/no/d/492/nc/U,0.51
bo/mu/yes/yes/m/728/nc/A,bw/mu/yes/no/d/450/nc/U,0.9
bo/mu/yes/yes/m/728/nc/A,bo/mu/no/no/d/468/nc/U,0.9
bo/mu/yes/yes/m/728/nc/A,bo/mu/yes/yes/m/728/nc/A,1.0
bo/mu/yes/yes/m/728/nc/A,bo/st/yes/no/d/522/nc/U,0.66
bo/mu/yes/yes/m/728/nc/A,bo/so/yes/yes/d/726/nc/A,0.54
bo/mu/yes/yes/m/728/nc/A,bw/mu/yes/yes/d/721/nc/A,0.92
bo/mu/yes/yes/m/728/nc/A,bw/so/no/no/d/540/nc/U,0.49
bo/mu/yes/yes/m/728/nc/A,bo/so/yes/no/m/744/nc/A,0.52
bo/mu/yes/yes/m/728/nc/A,bo/so/no/yes/d/576/nc/U,0.36
bo/mu/yes/yes/m/728/nc/A,bw/so/yes/no/m/743/nc/A,0.48
bo/mu/yes/yes/m/728/nc/A,bw/mu/yes/yes/m/727/nc/A,0.92
bo/mu/yes/yes/m/728/nc/A,bw/st/yes/yes/m/729/nc/A,0.54
bo/mu/yes/yes/m/728/nc/A,bo/st/yes/no/m/742/nc/A,0.66
bo/mu/yes/yes/m/728/nc/A,bo/so/yes/no/d/570/nc/U,0.52
bo/mu/yes/yes/m/728/nc/A,bw/mu/no/yes/d/745/nc/A,0.91
bo/mu/yes/yes/m/728/nc/A,bw/so/yes/no/d/546/nc/U,0.48
bo/mu/yes/yes/m/728/nc/A,bo/so/no/no/d/564/nc/U,0.35
bo/mu/yes/yes/m/728/nc/A,bo/so/no/yes/m/756/nc/A,0.36
bo/mu/yes/yes/m/728/nc/A,bw/mu/no/yes/m/751/nc/A,0.91
bo/mu/yes/yes/m/728/nc/A,bw/so/no/no/m/767/nc/A,0.49
bo/mu/yes/yes/m/728/nc/A,bo/mu/no/no/d/758/nc/A,0.9
bo/mu/yes/yes/m/728/nc/A,bw/so/no/yes/d/552/nc/U,0.5
bo/mu/yes/yes/m/728/nc/A,bo/st/no/no/d/760/nc/A,0.67
bo/mu/yes/yes/m/728/nc/A,bw/mu/yes/no/m/162/nc/U,0.9
bo/mu/yes/yes/m/728/nc/A,bo/mu/yes/no/d/734/nc/A,0.97
bo/mu/yes/yes/m/728/nc/A,bw/mu/yes/no/d/733/nc/A,0.9
bo/mu/yes/yes/m/728/nc/A,bw/st/yes/yes/m/198/nc/U,0.54
bo/mu/yes/yes/m/728/nc/A,bw/so/no/no/d/761/nc/A,0.49
bo/mu/yes/yes/m/728/nc/A,bo/st/no/no/m/766/nc/A,0.67
bo/mu/yes/yes/m/728/nc/A,bw/st/no/no/d/759/nc/A,0.51
bo/mu/yes/yes/m/728/nc/A,bo/so/no/yes/d/750/nc/A,0.36
bo/mu/yes/yes/m/728/nc/A,bw/mu/no/no/d/757/nc/A,0.89
bo/mu/yes/yes/m/728/nc/A,bo/so/no/no/m/768/nc/A,0.35
bo/mu/yes/yes/m/728/nc/A,bo/so/yes/yes/m/732/nc/A,0.54
bo/mu/yes/yes/m/728/nc/A,bw/st/yes/no/d/735/nc/A,0.49
bo/mu/yes/yes/m/728/nc/A,bw/st/yes/yes/d/486/nc/U,0.54
bo/mu/yes/yes/m/728/nc/A,bw/mu/no/no/d/444/nc/U,0.89
bo/mu/yes/yes/m/728/nc/A,bw/so/yes/yes/m/246/nc/U,0.49
bo/mu/yes/yes/m/728/nc/A,bo/so/yes/yes/m/270/nc/U,0.54
bo/mu/yes/yes/m/728/nc/A,bo/mu/no/yes/d/480/nc/U,0.91
bo/mu/yes/yes/m/728/nc/A,bo/mu/yes/no/d/474/nc/U,0.97
bo/mu/yes/yes/m/728/nc/A,bo/st/yes/yes/m/222/nc/U,0.67
bo/mu/yes/yes/m/728/nc/A,bo/so/yes/no/m/282/nc/U,0.52
bo/mu/yes/yes/m/728/nc/A,bo/so/no/no/m/276/nc/U,0.35
bo/mu/yes/yes/m/728/nc/A,bo/st/no/yes/m/240/nc/U,0.7
bo/mu/yes/yes/m/728/nc/A,bw/st/no/no/m/204/nc/U,0.51
bo/mu/yes/yes/m/728/nc/A,bo/mu/yes/yes/d/462/nc/U,1.0
bo/mu/yes/yes/m/728/nc/A,bo/st/yes/no/m/234/nc/U,0.66
bo/mu/yes/yes/m/728/nc/A,bw/st/yes/no/d/498/nc/U,0.49
bo/mu/yes/yes/m/728/nc/A,bw/mu/yes/yes/d/438/nc/U,0.92
bo/mu/yes/yes/m/728/nc/A,bw/so/yes/no/m/258/nc/U,0.48
bo/mu/yes/yes/m/728/nc/A,bw/so/no/yes/d/749/nc/A,0.5
bo/mu/yes/yes/m/728/nc/A,bo/mu/yes/no/m/740/nc/A,0.97
bo/mu/yes/yes/m/728/nc/A,bw/st/no/yes/d/747/nc/A,0.57
bo/mu/yes/yes/m/728/nc/A,bo/mu/no/no/m/180/nc/U,0.9
bo/mu/yes/yes/m/728/nc/A,bo/mu/yes/yes/m/174/nc/U,1.0
bo/mu/yes/yes/m/728/nc/A,bo/st/yes/yes/d/510/nc/U,0.67
bo/mu/yes/yes/m/728/nc/A,bo/mu/yes/yes/d/722/nc/A,1.0
bo/mu/yes/yes/m/728/nc/A,bw/so/yes/yes/d/725/nc/A,0.49
bo/mu/yes/yes/m/728/nc/A,bo/st/no/yes/d/528/nc/U,0.7
bo/mu/yes/yes/m/728/nc/A,bo/mu/no/yes/d/746/nc/A,0.91
bo/mu/yes/yes/m/728/nc/A,bw/st/yes/no/m/741/nc/A,0.49
bo/mu/yes/yes/m/728/nc/A,bo/st/no/yes/d/748/nc/A,0.7
bo/mu/yes/yes/m/728/nc/A,bo/mu/yes/no/m/186/nc/U,0.97
bo/mu/yes/yes/m/728/nc/A,bo/st/no/no/d/516/nc/U,0.67
bo/mu/yes/yes/m/728/nc/A,bo/st/yes/yes/d/724/nc/A,0.67
bo/mu/yes/yes/m/728/nc/A,bw/st/yes/yes/d/723/nc/A,0.54
bo/mu/yes/yes/m/728/nc/A,bo/mu/no/yes/m/192/nc/U,0.91
bo/mu/yes/yes/m/728/nc/A,bo/st/yes/yes/m/730/nc/A,0.67
bo/mu/yes/yes/m/728/nc/A,bw/so/yes/no/d/737/nc/A,0.48
bo/mu/yes/yes/m/728/nc/A,bw/mu/no/yes/m/168/nc/U,0.91
bo/mu/yes/yes/m/728/nc/A,bw/mu/yes/no/m/739/nc/A,0.9
bo/mu/yes/yes/m/728/nc/A,bw/mu/yes/yes/m/150/nc/U,0.92
bo/mu/yes/yes/m/728/nc/A,bw/so/yes/yes/d/534/nc/U,0.49
bo/mu/yes/yes/m/728/nc/A,bo/mu/no/yes/m/752/nc/A,0.91
